考号,班级,总成绩,年级名次,班级名次,政治,语文,数学,物理,化学,外语,历史,地理
10270502,5,213.5,320,48,21,54,22,26,26,22.5,20,22
10270503,5,408,114,17,53,92,48,22,31,42,50,70
10270504,5,477.5,26,2,62,100,61,36,62,45.5,60,51
10270505,5,320.5,246,35,33,76,44,24,28,22.5,39,54
10270506,5,400.5,125,20,55,79,57,21,57,34.5,41,56
10270507,5,345,208,31,39,86,40,18,29,29,50,54
10270508,5,370,168,25,43,99,36,23,27,18,60,64
10270509,5,175,321,49,14,41,25,6,39,16,8,26
10270601,6,379.5,152,13,51,84,40,18,43,23.5,54,66
10270602,6,366.5,172,18,39,91,45,20,37,40.5,42,52
10270603,6,370.5,166,16,47,70,55,31,47,22.5,44,54
10270604,6,306.5,270,33,33,60,40,17,43,27.5,38,48
10270605,6,311,265,31,36,71,35,9,32,28,45,55
10270606,6,332,233,26,42,71,26,16,26,27,70,54
10270607,6,284.5,292,35,34,58,60,27,18,22.5,22,43
10270608,6,366,173,19,29,61,87,50,22,28,43,46
10270609,6,346.5,206,21,59,72,35,20,24,25.5,47,64
10270610,6,445.5,59,4,44,73,73,35,71,38.5,53,58
10270611,6,309.5,266,32,31,69,40,24,45,10.5,40,50
10270612,6,326.5,239,29,36,79,40,10,40,19.5,48,54
10270613,6,400,128,9,56,72,40,38,35,21,75,63
10270614,6,302.5,274,34,36,68,38,9,50,28.5,34,39
10270615,6,525.5,8,1,58,99,88,52,85,25.5,57,61
10270616,6,344.5,210,22,45,77,45,11,66,14.5,38,48
10270617,6,373.5,161,15,39,55,55,34,60,25.5,42,63
10270618,6,394.5,137,11,58,94,50,24,39,37.5,37,55
10270619,6,342,219,24,40,58,39,16,55,20,54,60
10270620,6,494,19,2,59,98,83,38,55,41,56,64
10270621,6,344,212,23,39,76,42,14,62,27,30,54
10270622,6,347.5,204,20,51,76,19,19,28,21.5,67,66
10270623,6,422,92,8,58,89,70,31,39,22,52,61
10270624,6,394.5,137,11,40,92,58,23,45,20.5,56,60
10270625,6,369,169,17,42,78,50,22,33,31,60,53
10270626,6,376.5,156,14,44,74,34,25,50,57.5,44,48
10270627,6,331,234,27,34,77,30,26,47,21,34,62
10270628,6,447.5,55,3,58,83,69,36,52,24.5,63,62
10270629,6,275,300,37,33,59,25,16,27,16,41,58
10270630,6,445,60,5,47,82,77,34,67,23,49,66
10270631,6,315.5,258,30,34,73,45,17,31,18.5,38,59
10270701,7,489.5,20,3,64,104,53,29,56,41.5,67,75
10270702,7,333.5,232,32,41,77,42,30,25,48.5,35,35
10370101,1,277,299,46,51,62,25,17,14,32,38,38
10370201,2,354,193,31,54,70,31,28,30,40,41,60
10370202,2,233,318,48,33,44,35,22,18,17,18,46
10370501,5,256,312,46,41,61,25,13,21,20,28,47
10370502,5,419.5,95,11,54,102,30,38,34,28.5,66,67
10370503,5,430.5,75,8,63,84,30,44,57,42.5,38,72
10370504,5,408,114,17,51,94,41,14,38,70,39,61
10370505,5,293,284,41,40,87,5,18,28,25,30,60
10370506,5,285,290,43,42,70,18,31,32,25,32,35
10370701,7,309,269,38,32,79,34,14,27,30,37,56
10470101,1,343.5,215,33,46,72,30,31,20,34.5,52,58
10470102,1,299.5,279,42,45,70,27,14,23,23.5,41,56
10470301,3,396.5,134,22,38,82,51,34,56,33.5,36,66
10470302,3,398.5,130,20,67,84,49,30,18,26.5,67,57
10470303,3,350.5,196,31,40,71,42,19,32,24.5,65,57
10470304,3,423.5,86,13,59,80,52,31,35,47.5,48,71
10470305,3,434.5,72,10,72,96,38,41,27,26.5,63,71
10470306,3,365,174,28,49,57,60,17,34,36,48,64
10470307,3,322,243,34,47,76,24,25,28,41,30,51
10470401,4,334,230,32,49,71,36,13,26,53,40,46
10470402,4,458,48,11,62,91,63,27,55,34,62,64
10470403,4,246,313,42,29,48,19,13,18,40,31,48
10470404,4,305.5,271,40,39,78,39,25,18,19.5,34,53
10470405,4,511,12,4,77,94,44,37,72,59,59,69
10470501,5,390,142,22,49,82,29,35,22,34,74,65
10470502,5,397.5,133,21,53,92,31,25,38,37.5,70,51
10470503,5,312.5,261,37,51,80,26,19,17,33.5,66,20
10470504,5,438,66,7,64,87,54,13,24,64,57,75
10470505,5,271.5,304,45,34,81,10,18,31,19.5,38,40
10470506,5,403.5,121,19,46,88,46,19,33,52.5,55,64
10470601,6,441,63,6,55,82,55,31,36,81,56,45
10470701,7,407.5,118,17,65,94,51,17,43,30.5,58,49
10470702,7,322,243,35,46,78,15,17,43,29,41,53
10570101,1,515,11,2,65,95,60,27,59,84,51,74
10570102,1,383.5,146,24,71,87,44,31,55,38.5,16,41
10570202,2,373.5,161,26,57,83,39,13,31,34.5,60,56
10570301,3,265,307,47,46,63,40,9,14,15,36,42
10570302,3,408,114,15,59,93,30,18,24,84,50,50
10570303,3,279.5,296,44,33,59,40,9,22,22.5,36,58
10570401,4,146.5,322,43,14,48,10,6,19,17.5,18,14
10570402,4,344,212,30,32,81,46,22,23,44,47,49
10570403,4,460,44,10,62,106,29,23,47,97,46,50
10570501,5,343,217,32,51,94,20,21,14,35,46,62
10570502,5,339.5,224,33,50,84,32,14,31,43.5,37,48
10570503,5,412.5,105,15,55,90,53,13,51,56.5,37,57
10570504,5,312,262,38,43,80,39,27,24,28,36,35
10570505,5,417,101,13,52,91,32,36,32,67,66,41
10570601,6,425,84,7,50,83,57,25,66,48,46,50
10570602,6,282,294,36,42,65,17,12,24,26,42,54
10570603,6,341,220,25,58,89,20,13,42,42,31,46
10570702,7,464.5,38,6,66,92,52,34,31,51.5,64,74
10570703,7,268,306,45,19,74,22,13,27,49,32,32
